rating_ID,Store_ID,rating
1,1,3.45
2,2,4.12
3,3,2.78
4,4,1.95
5,5,4.67
6,6,3.21
7,7,2.34
8,8,4.89
9,9,1.56
10,10,3.78
11,11,2.89
12,12,4.45
13,13,1.23
14,14,3.99
15,15,2.67
16,16,4.56
17,17,1.78
18,18,3.45
19,19,2.12
20,20,4.01
21,21,1.98
22,22,3.56
23,23,2.11
24,24,4.23
25,25,1.45
26,26,3.78
27,27,2.89
28,28,4.45
29,29,1.23
30,30,3.99
31,31,2.67
32,32,4.56
33,33,1.78
34,34,3.45
35,35,2.12
36,36,4.01
37,37,1.98
38,38,3.56
39,39,2.11
40,40,4.23
41,41,1.45
42,42,3.78
43,43,2.89
44,44,4.45
45,45,1.23
46,46,3.99
47,47,2.67
48,48,4.56
49,49,1.78
50,50,3.45
51,51,2.12
52,52,4.01
53,53,1.98
54,54,3.56
55,55,2.11
56,56,4.23
57,57,1.45
58,58,3.78
59,59,2.89
60,60,4.45
61,61,1.23
62,62,3.99
63,63,2.67
64,64,4.56
65,65,1.78
66,66,3.45
67,67,2.12
68,68,4.01
69,69,1.98
70,70,3.56
71,71,2.11
72,72,4.23
73,73,1.45
74,74,3.78
75,75,2.89
76,76,4.45
77,77,1.23
78,78,3.99
79,79,2.67
80,80,4.56
81,81,1.78
82,82,3.45
83,83,2.12
84,84,4.01
85,85,1.98
86,86,3.56
87,87,2.11
88,88,4.23
89,89,1.45
90,90,3.78
91,91,2.89
92,92,4.45
93,93,1.23
94,94,3.99
95,95,2.67
96,96,4.56
97,97,1.78
98,98,3.45
99,99,2.12
100,100,4.01
101,101,1.98
102,102,3.56
103,103,2.11
104,104,4.23
105,105,1.45
106,106,3.78
107,107,2.89
108,108,4.45
109,109,1.23
110,110,3.99
111,111,2.67
112,112,4.56
113,113,1.78
114,114,3.45
115,115,2.12
116,116,4.01
117,117,1.98
118,118,3.56
119,119,2.11
120,120,4.23
121,121,1.45
122,122,3.78
123,123,2.89
124,124,4.45
125,125,1.23
126,126,3.99
127,127,2.67
128,128,4.56
129,129,1.78
130,130,3.45
131,131,2.12
132,132,4.01
133,133,1.98
134,134,3.56
135,135,2.11
136,136,4.23
137,137,1.45
138,138,3.78
139,139,2.89
140,140,4.45
141,141,1.23
142,142,3.99
143,143,2.67
144,144,4.56
145,145,1.78
146,146,3.45
147,147,2.12
148,148,4.01
149,149,1.98
150,150,3.56
151,151,2.11
152,152,4.23
153,153,1.45
154,154,3.78
155,155,2.89
156,156,4.45
157,157,1.23
158,158,3.99
159,159,2.67
160,160,4.56
161,161,1.78
162,162,3.45
163,163,2.12
164,164,4.01
165,165,1.98
166,166,3.56
167,167,2.11
168,168,4.23
169,169,1.45
170,170,3.78
171,171,2.89
172,172,4.45
173,173,1.23
174,174,3.99
175,175,2.67
176,176,4.56
177,177,1.78
178,178,3.45
179,179,2.12
180,180,4.01
181,181,1.98
182,182,3.56
183,183,2.11
184,184,4.23
185,185,1.45
186,186,3.78
187,187,2.89
188,188,4.45
189,189,1.23
190,190,3.99
191,191,2.67
192,192,4.56
193,193,1.78
194,194,3.45
195,195,2.12
196,196,4.01
197,197,1.98
198,198,3.56
199,199,2.11
200,200,4.23
201,201,1.45
202,202,3.78
203,203,2.89
204,204,4.45
205,205,1.23
206,206,3.99
207,207,2.67
208,208,4.56
209,209,1.78
210,210,3.45
211,211,2.12
212,212,4.01
213,213,1.98
214,214,3.56
215,215,2.11
216,216,4.23
217,217,1.45
218,218,3.78
219,219,2.89
220,220,4.45
221,221,1.23
222,222,3.99
223,223,2.67
224,224,4.56
225,225,1.78
226,226,3.45
227,227,2.12
228,228,4.01
229,229,1.98
230,230,3.56
231,231,2.11
232,232,4.23
233,233,1.45
234,234,3.78
235,235,2.89
236,236,4.45
237,237,1.23
238,238,3.99
239,239,2.67
240,240,4.56
241,241,1.78
242,242,3.45
243,243,2.12
244,244,4.01
245,245,1.98
246,246,3.56
247,247,2.11
248,248,4.23
249,249,1.45
250,250,3.78
251,251,2.89
252,252,4.45
253,253,1.23
254,254,3.99
255,255,2.67
256,256,4.56
257,257,1.78
258,258,3.45
259,259,2.12
260,260,4.01
261,261,1.98
262,262,3.56
263,263,2.11
264,264,4.23
265,265,1.45
266,266,3.78
267,267,2.89
268,268,4.45
269,269,1.23
270,270,3.99
271,271,2.67
272,272,4.56
273,273,1.78
274,274,3.45
275,275,2.12
276,276,4.01
277,277,1.98
278,278,3.56
279,279,2.11
280,280,4.23
281,281,1.45
282,282,3.78
283,283,2.89
284,284,4.45
285,285,1.23
286,286,3.99
287,287,2.67
288,288,4.56
289,289,1.78
290,290,3.45
291,291,2.12
292,292,4.01
293,293,1.98
294,294,3.56
295,295,2.11
296,296,4.23
297,297,1.45
298,298,3.78
299,299,2.89
300,300,4.45
301,301,1.23
302,302,3.99
303,303,2.67
304,304,4.56
305,305,1.78
306,306,3.45
307,307,2.12
308,308,4.01
309,309,1.98
310,310,3.56
311,311,2.11
312,312,4.23
313,313,1.45
314,314,3.78
315,315,2.89
316,316,4.45
317,317,1.23
318,318,3.99
319,319,2.67
320,320,4.56
321,321,1.78
322,322,3.45
323,323,2.12
324,324,4.01
325,325,1.98
326,326,3.56
327,327,2.11
328,328,4.23
329,329,1.45
330,330,3.78
331,331,2.89
332,332,4.45
333,333,1.23
334,334,3.99
335,335,2.67
336,336,4.56
337,337,1.78
338,338,3.45
339,339,2.12
340,340,4.01
341,341,1.98
342,342,3.56
343,343,2.11
344,344,4.23
345,345,1.45
346,346,3.78
347,347,2.89
348,348,4.45
349,349,1.23
350,350,3.99
351,351,2.67
352,352,4.56
353,353,1.78
354,354,3.45
355,355,2.12
356,356,4.01
357,357,1.98
358,358,3.56
359,359,2.11
360,360,4.23
361,361,1.45
362,362,3.78
363,363,2.89
364,364,4.45
365,365,1.23
366,366,3.99
367,367,2.67
368,368,4.56
369,369,1.78
370,370,3.45
371,371,2.12
372,372,4.01
373,373,1.98
374,374,3.56
375,375,2.11
376,376,4.23
377,377,1.45
378,378,3.78
379,379,2.89
380,380,4.45
381,381,1.23
381,381,2.57
382,382,4.21
383,383,1.89
384,384,3.45
385,385,2.12
386,386,4.01
387,387,1.98
388,388,3.56
389,389,2.11
390,390,4.23
391,391,1.45
392,392,3.78
393,393,2.89
394,394,4.45
395,395,1.23
396,396,3.99
397,397,2.67
398,398,4.56
399,399,1.78
400,400,3.45
401,401,2.12
402,402,4.01
403,403,1.98
404,404,3.56
405,405,2.11
406,406,4.23
407,407,1.45
408,408,3.78
409,409,2.89
410,410,4.45
411,411,1.23
412,412,3.99
412,412,3.99
413,413,2.67
414,414,4.56
415,415,1.78
416,416,3.45
417,417,2.12
418,418,4.01
419,419,1.98
420,420,3.56
421,421,2.11
422,422,4.23
423,423,1.45
424,424,3.78
425,425,2.89
426,426,4.45
427,427,1.23
428,428,3.99
429,429,2.67
430,430,4.56
431,431,1.78
432,432,3.45
433,433,2.12
434,434,4.01
435,435,1.98
436,436,3.56
437,437,2.11
438,438,4.23
439,439,1.45
440,440,3.78
441,441,2.89
442,442,4.45
443,443,1.23
444,444,3.99
445,445,2.67
446,446,4.56
447,447,1.78
448,448,3.45
449,449,2.12
450,450,4.01
451,451,1.98
452,452,3.56
453,453,2.11
454,454,4.23
455,455,1.45
456,456,3.78
457,457,2.89
458,458,4.45
459,459,1.23
460,460,3.99
461,461,2.67
462,462,4.56
463,463,1.78
464,464,3.45
465,465,2.12
466,466,4.01
467,467,1.98
468,468,3.56
469,469,2.11
470,470,4.23
471,471,1.45
472,472,3.78
473,473,2.89
474,474,4.45
475,475,1.23
476,476,3.99
477,477,2.67
478,478,4.56
479,479,1.78
480,480,3.45
481,481,2.12
482,482,4.01
483,483,1.98
484,484,3.56
485,485,2.11
486,486,4.23
487,487,1.45
488,488,3.78
489,489,2.89
490,490,4.45
491,491,1.23
492,492,3.99
493,493,2.67
494,494,4.56
495,495,1.78
496,496,3.45
497,497,2.12
498,498,4.01
499,499,1.98
500,500,3.56
501,501,2.11
502,502,4.23
503,503,1.45
504,504,3.78
505,505,2.89
506,506,4.45
507,507,1.23
508,508,3.99
509,509,2.67
510,510,4.56
511,511,1.78
512,512,3.45
513,513,2.12
514,514,4.01
515,515,1.98
516,516,3.56
517,517,2.11
518,518,4.23
519,519,1.45
520,520,3.78
521,521,2.89
522,522,4.45
523,523,1.23
524,524,3.99
525,525,2.67
526,526,4.56
527,527,1.78
528,528,3.45
529,529,2.12
530,530,4.01
531,531,1.98
532,532,3.56
533,533,2.11
534,534,4.23
535,535,1.45
536,536,3.78
537,537,2.89
538,538,4.45
539,539,1.23
540,540,3.99
541,541,2.67
542,542,4.56
543,543,1.78
544,544,3.45
545,545,2.12
546,546,4.01
547,547,1.98
548,548,3.56
549,549,2.11
550,550,4.23
551,551,1.45
552,552,3.78
553,553,2.89
554,554,4.45
555,555,1.23
556,556,3.99
557,557,2.67
558,558,4.56
559,559,1.78
560,560,3.45
561,561,2.12
562,562,4.01
563,563,1.98
564,564,3.56
565,565,2.11
566,566,4.23
567,567,1.45
568,568,3.78
569,569,2.89
570,570,4.45
571,571,1.23
572,572,3.99
573,573,2.67
574,574,4.56
575,575,1.78
576,576,3.45
577,577,2.12
578,578,4.01
579,579,1.98
580,580,3.56
581,581,2.11
582,582,4.23
583,583,1.45
584,584,3.78
585,585,2.89
586,586,4.45
587,587,1.23
588,588,3.99
589,589,2.67
590,590,4.56
591,591,1.78
592,592,3.45
593,593,2.12
594,594,4.01
595,595,1.98
596,596,3.56
597,597,2.11
598,598,4.23
599,599,1.45
600,600,3.78
601,601,2.89
602,602,4.45
603,603,1.23
604,604,3.99
605,605,2.67
606,606,4.56
607,607,1.78
608,608,3.45
609,609,2.12
610,610,4.01
611,611,1.98
612,612,3.56
613,613,2.11
614,614,4.23
615,615,1.45
616,616,3.78
617,617,2.89
618,618,4.45
619,619,1.23
620,620,3.99
621,621,2.67
622,622,4.56
623,623,1.78
624,624,3.45
625,625,2.12
626,626,4.01
627,627,1.98
628,628,3.56
629,629,2.11
630,630,4.23
631,631,1.45
632,632,3.78
633,633,2.89
634,634,4.45
635,635,1.23
636,636,3.99
637,637,2.67
638,638,4.56
639,639,1.78
640,640,3.45
641,641,2.12
642,642,4.01
643,643,1.98
644,644,3.56
645,645,2.11
646,646,4.23
647,647,1.45
648,648,3.78
649,649,2.89
650,650,4.45
651,651,1.23
652,652,3.99
653,653,2.67
654,654,4.56
655,655,1.78
656,656,3.45
657,657,2.12
658,658,4.01
659,659,1.98
660,660,3.56
661,661,2.11
662,662,4.23
663,663,1.45
664,664,3.78
665,665,2.89
666,666,4.45
667,667,1.23
668,668,3.99
669,669,2.67
670,670,4.56
671,671,1.78
672,672,3.45
673,673,2.12
674,674,4.01
675,675,1.98
676,676,3.56
677,677,2.11
678,678,4.23
679,679,1.45
680,680,3.78
681,681,2.89
682,682,4.45
683,683,1.23
684,684,3.99
685,685,2.67
686,686,4.56
687,687,1.78
688,688,3.45
689,689,2.12
690,690,4.01
691,691,1.98
692,692,3.56
693,693,2.11
694,694,4.23
695,695,1.45
696,696,3.78
697,697,2.89
698,698,4.45
699,699,1.23
700,700,3.99
701,701,2.67
702,702,4.56
703,703,1.78
704,704,3.45
705,705,2.12
706,706,4.01
707,707,1.98
708,708,3.56
709,709,2.11
710,710,4.23
711,711,1.45
712,712,3.78
713,713,2.89
714,714,4.45
715,715,1.23
716,716,3.99
717,717,2.67
718,718,4.56
719,719,1.78
720,720,3.45
721,721,2.12
722,722,4.01
723,723,1.98
724,724,3.56
725,725,2.11
726,726,4.23
727,727,1.45
728,728,3.78
729,729,2.89
730,730,4.45
731,731,1.23
732,732,3.99
733,733,2.67
734,734,4.56
735,735,1.78
736,736,3.45
737,737,2.12
738,738,4.01
739,739,1.98
740,740,3.56
741,741,2.11
742,742,4.23
743,743,1.45
744,744,3.78
745,745,2.89
746,746,4.45
747,747,1.23
748,748,3.99
749,749,2.67
750,750,4.56
751,751,1.78
752,752,3.45
753,753,2.12
754,754,4.01
755,755,1.98
756,756,3.56
757,757,2.11
758,758,4.23
759,759,1.45
760,760,3.78
761,761,2.89
762,762,4.45
763,763,1.23
764,764,3.99
765,765,2.67
766,766,4.56
767,767,1.78
768,768,3.45
769,769,2.12
770,770,4.01
771,771,1.98
772,772,3.56
773,773,2.11
774,774,4.23
775,775,1.45
776,776,3.78
777,777,2.89
778,778,4.45
779,779,1.23
780,780,3.99
781,781,2.67
782,782,4.56
783,783,1.78
784,784,3.45
785,785,2.12
786,786,4.01
787,787,1.98
788,788,3.56
789,789,2.11
790,790,4.23
791,791,1.45
792,792,3.78
793,793,2.89
794,794,4.45
795,795,1.23
796,796,3.99
797,797,2.67
798,798,4.56
799,799,1.78
800,800,3.45
801,801,2.12
802,802,4.01
803,803,1.98
804,804,3.56
805,805,2.11
806,806,4.23
807,807,1.45
808,808,3.78
809,809,2.89
810,810,4.45
811,811,1.23
812,812,3.99
813,813,2.67
814,814,4.56
815,815,1.78
816,816,3.45
817,817,2.12
818,818,4.01
819,819,1.98
820,820,3.56
821,821,2.11
822,822,4.23
823,823,1.45
824,824,3.78
825,825,2.89
826,826,4.45
827,827,1.23
828,828,3.99
829,829,2.67
830,830,4.56
831,831,1.78
832,832,3.45
833,833,2.12
834,834,4.01
835,835,1.98
836,836,3.56
837,837,2.11
838,838,4.23
839,839,1.45
840,840,3.78
841,841,2.89
842,842,4.45
843,843,1.23
844,844,3.99
845,845,2.67
846,846,4.56
847,847,1.78
848,848,3.45
849,849,2.12
850,850,4.01
851,851,1.98
852,852,3.56
853,853,2.11
854,854,4.23
855,855,1.45
856,856,3.78
857,857,2.89
858,858,4.45
859,859,1.23
860,860,3.99
861,861,2.67
862,862,4.56
863,863,1.78
864,864,3.45
865,865,2.12
866,866,4.01
867,867,1.98
868,868,3.56
869,869,2.11
870,870,4.23
871,871,1.45
872,872,3.78
873,873,2.89
874,874,4.45
875,875,1.23
876,876,3.99
877,877,2.67
878,878,4.56
879,879,1.78
880,880,3.45
881,881,2.12
882,882,4.01
883,883,1.98
884,884,3.56
885,885,2.11
886,886,4.23
887,887,1.45
888,888,3.78
889,889,2.89
890,890,4.45
891,891,1.23
892,892,3.99
893,893,2.67
894,894,4.56
895,895,1.78
896,896,3.45
